service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
67501,1,1,1,1,1,0,0,20251119,20251122
67502,1,1,1,1,0,0,0,20251119,20251122
67503,0,1,1,1,1,0,0,20251119,20251122
67504,0,1,1,1,1,0,0,20251119,20251122
67505,0,0,0,0,1,0,0,20251119,20251122
67506,0,0,0,0,0,1,0,20251119,20251122
67507,0,0,0,0,0,1,0,20251119,20251122
67508,0,0,0,0,0,0,1,20251119,20251122
67509,0,0,0,0,0,0,1,20251119,20251122
67510,0,0,1,1,1,1,0,20251119,20251122
67511,0,1,1,1,1,1,0,20251119,20251122
67512,0,1,1,1,1,1,0,20251119,20251122
67513,1,0,0,0,0,0,0,20251119,20251122
67514,1,0,0,0,0,0,0,20251119,20251122
67515,1,0,0,0,0,0,0,20251119,20251122
67516,0,1,0,0,0,0,0,20251119,20251122
67517,0,1,0,0,0,0,0,20251119,20251122
67518,1,0,1,1,1,0,0,20251119,20251122
67519,1,0,1,1,1,0,0,20251119,20251122
67520,0,0,1,0,0,0,0,20251119,20251122
67521,0,0,1,0,0,0,0,20251119,20251122
67522,1,1,0,1,1,0,0,20251119,20251122
67523,1,1,0,1,1,0,0,20251119,20251122
67524,0,0,0,1,0,0,0,20251119,20251122
67525,0,0,0,1,0,0,0,20251119,20251122
67526,1,1,1,0,1,0,0,20251119,20251122
67527,1,1,1,0,1,0,0,20251119,20251122
67528,0,1,1,0,0,0,0,20251119,20251122
67529,0,1,1,0,0,0,0,20251119,20251122
67530,1,0,0,1,1,0,0,20251119,20251122
67531,1,0,0,1,1,0,0,20251119,20251122
67532,1,1,0,0,1,0,0,20251119,20251122
67533,1,1,0,0,1,0,0,20251119,20251122
67534,1,1,1,1,1,0,1,20251119,20251122
67535,1,1,1,1,1,0,1,20251119,20251122
67536,1,1,1,1,1,1,0,20251119,20251122
67537,1,1,1,1,1,1,0,20251119,20251122
67538,1,1,1,1,1,1,0,20251119,20251122
67539,1,1,1,1,1,0,0,20251119,20251122
67540,1,1,1,1,0,0,1,20251119,20251122
67541,0,1,1,0,1,0,0,20251119,20251122
67542,0,1,1,0,1,0,0,20251119,20251122
67601,1,1,1,1,1,0,0,20251123,20260131
67602,1,1,1,1,0,0,0,20251123,20260131
67603,0,1,1,1,1,0,0,20251123,20260131
67604,0,1,1,1,1,0,0,20251123,20260131
67605,0,0,0,0,1,0,0,20251123,20260131
67606,0,0,0,0,0,1,0,20251123,20260131
67607,0,0,0,0,0,1,0,20251123,20260131
67608,0,0,0,0,0,0,1,20251123,20260131
67609,0,0,0,0,0,0,1,20251123,20260131
67610,0,0,1,1,1,1,0,20251123,20260131
67611,0,1,1,1,1,1,0,20251123,20260131
67612,0,1,1,1,1,1,0,20251123,20260131
67613,1,0,0,0,0,0,0,20251123,20260131
67614,1,0,0,0,0,0,0,20251123,20260131
67615,1,0,0,0,0,0,0,20251123,20260131
67616,0,1,0,0,0,0,0,20251123,20260131
67617,0,1,0,0,0,0,0,20251123,20260131
67618,1,0,1,1,1,0,0,20251123,20260131
67619,1,0,1,1,1,0,0,20251123,20260131
67620,0,0,1,0,0,0,0,20251123,20260131
67621,0,0,1,0,0,0,0,20251123,20260131
67622,1,1,0,1,1,0,0,20251123,20260131
67623,1,1,0,1,1,0,0,20251123,20260131
67624,0,0,0,1,0,0,0,20251123,20260131
67625,0,0,0,1,0,0,0,20251123,20260131
67626,1,1,1,0,1,0,0,20251123,20260131
67627,1,1,1,0,1,0,0,20251123,20260131
67628,0,1,1,0,0,0,0,20251123,20260131
67629,0,1,1,0,0,0,0,20251123,20260131
67630,1,0,0,1,1,0,0,20251123,20260131
67631,1,0,0,1,1,0,0,20251123,20260131
67632,1,1,0,0,1,0,0,20251123,20260131
67633,1,1,0,0,1,0,0,20251123,20260131
67634,1,1,1,1,1,0,1,20251123,20260131
67635,1,1,1,1,1,0,1,20251123,20260131
67636,1,1,1,1,1,1,0,20251123,20260131
67637,1,1,1,1,1,1,0,20251123,20260131
67638,1,1,1,1,1,1,0,20251123,20260131
67639,1,1,1,1,1,0,0,20251123,20260131
67640,1,1,1,1,0,0,1,20251123,20260131
67641,0,1,1,0,1,0,0,20251123,20260131
67642,0,1,1,0,1,0,0,20251123,20260131
108901,1,1,1,1,1,0,0,20251119,20260131
108902,1,1,1,1,0,0,0,20251119,20260131
108903,0,1,1,1,1,0,0,20251119,20260131
108904,0,1,1,1,1,0,0,20251119,20260131
108905,0,0,0,0,1,0,0,20251119,20260131
108906,0,0,0,0,0,1,0,20251119,20260131
108907,0,0,0,0,0,1,0,20251119,20260131
108908,0,0,0,0,0,0,1,20251119,20260131
108909,0,0,0,0,0,0,1,20251119,20260131
108910,0,0,1,1,1,1,0,20251119,20260131
108911,0,1,1,1,1,1,0,20251119,20260131
108912,0,1,1,1,1,1,0,20251119,20260131
108913,1,0,0,0,0,0,0,20251119,20260131
108914,1,0,0,0,0,0,0,20251119,20260131
108915,1,0,0,0,0,0,0,20251119,20260131
108916,0,1,0,0,0,0,0,20251119,20260131
108917,0,1,0,0,0,0,0,20251119,20260131
108918,1,0,1,1,1,0,0,20251119,20260131
108919,1,0,1,1,1,0,0,20251119,20260131
108920,0,0,1,0,0,0,0,20251119,20260131
108921,0,0,1,0,0,0,0,20251119,20260131
108922,1,1,0,1,1,0,0,20251119,20260131
108923,1,1,0,1,1,0,0,20251119,20260131
108924,0,0,0,1,0,0,0,20251119,20260131
108925,0,0,0,1,0,0,0,20251119,20260131
108926,1,1,1,0,1,0,0,20251119,20260131
