service_id,date,exception_type
67601,20251127,2
67601,20251225,2
67601,20260101,2
67602,20251127,2
67602,20251225,2
67602,20260101,2
67603,20251127,2
67603,20251225,2
67603,20260101,2
67604,20251128,2
67604,20251226,2
67604,20260102,2
67605,20251127,2
67605,20251225,2
67605,20260101,2
67606,20251127,2
67606,20251225,2
67606,20260101,2
67607,20251128,2
67607,20251226,2
67607,20260102,2
67608,20251128,2
67608,20251226,2
67608,20260102,2
67609,20251127,1
67609,20251225,1
67609,20260101,1
67610,20251128,2
67610,20251226,2
67610,20260102,2
67611,20251127,2
67611,20251225,2
67611,20260101,2
67612,20251128,2
67612,20251226,2
67612,20260102,2
67613,20251127,2
67613,20251225,2
67613,20260101,2
67614,20251128,2
67614,20251226,2
67614,20260102,2
67615,20251128,1
67615,20251226,1
67615,20260102,1
67616,20251127,2
67616,20251225,2
67616,20260101,2
67617,20251128,2
67617,20251226,2
67617,20260102,2
67618,20251127,2
67618,20251225,2
67618,20260101,2
67619,20251128,2
67619,20251226,2
67619,20260102,2
67620,20251127,2
67620,20251225,2
67620,20260101,2
67621,20251128,2
67621,20251226,2
67621,20260102,2
67622,20251127,2
67622,20251225,2
67622,20260101,2
67623,20251128,2
67623,20251226,2
67623,20260102,2
67624,20251127,2
67624,20251225,2
67624,20260101,2
67625,20251128,2
67625,20251226,2
67625,20260102,2
67626,20251127,2
67626,20251225,2
67626,20260101,2
67627,20251128,2
67627,20251226,2
67627,20260102,2
67628,20251127,2
67628,20251225,2
67628,20260101,2
67629,20251128,2
67629,20251226,2
67629,20260102,2
67630,20251127,2
67630,20251225,2
67630,20260101,2
67631,20251128,2
67631,20251226,2
67631,20260102,2
67632,20251127,2
67632,20251225,2
67632,20260101,2
67633,20251128,2
67633,20251226,2
67633,20260102,2
67634,20251127,2
67634,20251225,2
67634,20260101,2
67635,20251128,2
67635,20251226,2
67635,20260102,2
67636,20251127,2
67636,20251225,2
67636,20260101,2
67637,20251128,2
67637,20251226,2
67637,20260102,2
67638,20251128,1
67638,20251226,1
67638,20260102,1
67639,20251128,1
67639,20251226,1
67639,20260102,1
67640,20251127,1
67640,20251225,1
67640,20260101,1
67641,20251127,2
67641,20251225,2
67641,20260101,2
67642,20251128,2
67642,20251226,2
67642,20260102,2
108901,20251127,2
108901,20251225,2
108901,20260101,2
108902,20251127,2
108902,20251225,2
108902,20260101,2
108903,20251127,2
108903,20251225,2
108903,20260101,2
108904,20251128,2
108904,20251226,2
108904,20260102,2
108905,20251127,2
108905,20251225,2
108905,20260101,2
108906,20251127,2
108906,20251225,2
108906,20260101,2
108907,20251128,2
108907,20251226,2
108907,20260102,2
108908,20251128,2
108908,20251226,2
108908,20260102,2
108909,20251127,1
108909,20251225,1
108909,20260101,1
108910,20251128,2
108910,20251226,2
108910,20260102,2
108911,20251127,2
108911,20251225,2
108911,20260101,2
108912,20251128,2
108912,20251226,2
108912,20260102,2
108913,20251127,2
108913,20251225,2
108913,20260101,2
108914,20251128,2
108914,20251226,2
108914,20260102,2
108915,20251128,1
108915,20251226,1
108915,20260102,1
108916,20251127,2
108916,20251225,2
108916,20260101,2
108917,20251128,2
108917,20251226,2
108917,20260102,2
108918,20251127,2
108918,20251225,2
108918,20260101,2
108919,20251128,2
108919,20251226,2
108919,20260102,2
108920,20251127,2
108920,20251225,2
108920,20260101,2
108921,20251128,2
108921,20251226,2
108921,20260102,2
108922,20251127,2
108922,20251225,2
108922,20260101,2
108923,20251128,2
108923,20251226,2
108923,20260102,2
108924,20251127,2
108924,20251225,2
108924,20260101,2
108925,20251128,2
108925,20251226,2
108925,20260102,2
108926,20251127,2
108926,20251225,2
108926,20260101,2
108927,20251128,2
108927,20251226,2
108927,20260102,2
108928,20251127,2
108928,20251225,2
108928,20260101,2
108929,20251128,2
108929,20251226,2
108929,20260102,2
108930,20251127,2
108930,20251225,2
108930,20260101,2
108931,20251128,2
108931,20251226,2
108931,20260102,2
108932,20251127,2
108932,20251225,2
108932,20260101,2
108933,20251128,2
108933,20251226,2
108933,20260102,2
108934,20251127,2
108934,20251225,2
108934,20260101,2
108935,20251128,2
108935,20251226,2
108935,20260102,2
108936,20251127,2
108936,20251225,2
108936,20260101,2
108937,20251128,2
108937,20251226,2
108937,20260102,2
108938,20251128,1
108938,20251226,1
108938,20260102,1
108939,20251128,1
108939,20251226,1
108939,20260102,1
108940,20251127,1
108940,20251225,1
108940,20260101,1
108941,20251127,2
108941,20251225,2
108941,20260101,2
108942,20251128,2
108942,20251226,2
108942,20260102,2
208901,20251127,2
208901,20251225,2
208901,20260101,2
